,cgpa,programmingClub,programmingContest,projectShowcasing,seminarWorkshop,researchOpportunities,fundingSupportResearch,studentTeacherRatio,qualityOfTeaching,supportiveTeachersTechnicalSkill,programmingEnvironment,successfulFeelOrNot,specializedLabs,internshipsOrIndustryPlacement,onCampusRecruitment,arrangePeerMentoringPrograms,arrangePeerledWorkshopsOrTutorials,numberOfProjectsOrInitiatives,receiveAwardsScholarships,secureEmploymentOrJobOffers,interestCareerInTheCSEfield,finallyAcademicEnvironmentAndPeerMentoringSupport
0,3.64,0,2,2,2,2,0,0,0,2,1,0,0,2,0,2,2,2,2,0,2,1
1,3.64,0,2,2,3,0,0,0,3,3,3,0,0,0,0,2,0,1,0,0,1,5
2,3.3,0,3,2,2,0,0,1,3,3,4,5,0,0,0,0,0,2,0,0,1,5
3,3.6,0,3,1,2,0,0,1,3,1,1,0,0,0,0,2,0,2,0,0,2,4
4,3.64,1,0,1,2,1,2,0,2,2,2,2,1,2,1,2,2,0,0,0,2,2
5,3.495,1,2,1,0,1,0,0,2,2,2,2,1,0,1,2,2,2,2,0,2,1
6,3.3,0,3,0,1,0,0,1,3,3,4,5,0,0,0,0,0,1,0,0,2,5
7,3.495,0,3,2,2,2,0,2,2,0,3,2,0,0,0,0,2,2,0,0,2,4
8,3.64,0,2,1,2,0,0,1,3,0,3,0,0,0,0,0,0,2,0,0,2,5
9,3.3,0,3,0,2,0,0,0,0,0,3,0,0,2,1,2,0,2,0,2,2,4
10,3.64,0,3,1,3,1,1,2,2,2,1,3,0,0,1,2,2,2,0,0,2,1
11,3.495,0,3,2,3,2,0,2,0,3,3,3,0,0,0,0,0,1,0,0,2,5
12,3.64,0,2,1,2,0,1,1,3,3,4,5,0,0,0,0,2,1,0,0,0,5
13,3.495,1,2,2,3,2,1,0,0,2,1,1,1,2,1,1,2,0,0,0,2,1
14,3.47,0,2,1,0,2,1,0,0,2,3,0,0,2,1,2,1,2,2,2,1,2
15,3.495,0,3,1,2,2,0,0,0,0,3,2,0,0,0,2,0,2,0,1,2,1
16,3.64,1,3,1,2,2,2,1,0,2,3,0,0,0,1,2,1,0,1,1,2,3
17,3.495,1,2,3,2,2,1,0,3,2,2,3,0,0,1,2,2,2,0,0,2,1
18,3.3,1,2,2,2,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,1,1
19,3.3,1,0,2,2,0,2,0,0,0,4,0,0,0,1,0,2,0,0,0,1,1
20,3.3,0,3,0,1,2,1,1,2,4,1,0,1,0,0,2,2,0,0,0,1,1
21,3.64,1,3,1,0,0,1,0,0,2,3,2,0,0,0,2,0,1,0,0,2,4
22,3.495,0,3,2,3,0,0,2,3,3,4,1,0,0,0,0,0,1,2,0,2,5
23,3.495,0,2,1,2,2,1,0,2,2,1,0,0,0,0,2,2,2,0,0,2,1
24,3.64,1,2,1,2,0,1,2,0,0,3,5,0,0,0,2,2,1,0,0,2,1
25,3.495,0,2,1,3,0,0,0,3,0,3,0,0,2,1,1,2,1,1,0,2,1
26,3.64,0,3,2,2,2,1,0,2,2,2,2,0,0,1,2,2,1,1,1,2,1
27,3.495,0,3,2,2,0,0,1,3,1,3,0,0,0,0,2,0,1,0,0,2,4
28,3.3,0,3,2,2,0,0,1,3,1,3,3,0,0,0,2,0,2,0,0,2,4
29,3.64,1,2,1,2,2,1,0,2,2,1,0,0,0,1,2,0,2,0,0,1,1
30,3.3,0,3,1,2,2,1,0,0,1,3,3,0,0,0,2,2,0,0,0,2,4
31,3.3,0,2,1,2,0,0,0,2,2,3,0,0,0,0,2,2,0,0,0,1,1
32,3.495,0,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,4
33,3.495,0,2,1,2,0,0,0,0,0,3,3,0,0,0,2,2,1,0,0,2,4
34,3.63,0,3,1,3,2,1,0,0,2,1,0,0,1,0,2,2,2,0,1,2,1
35,3.57,0,3,1,2,2,1,1,3,0,1,2,0,0,0,2,2,0,2,1,2,4
36,3.495,0,2,1,2,2,1,2,2,0,2,2,0,0,2,2,2,2,0,0,0,1
37,3.495,1,3,2,3,1,1,0,1,2,2,3,0,0,1,1,1,2,0,1,1,2
38,3.495,0,2,1,0,0,0,1,0,0,1,0,0,0,1,2,2,2,1,0,2,4
39,3.64,1,2,1,2,1,0,2,0,0,1,2,0,0,0,2,2,2,1,0,2,1
40,3.3,0,1,1,2,2,2,2,3,0,3,3,0,0,0,2,2,2,2,0,1,4
41,3.4,1,2,1,2,0,0,1,0,2,3,0,0,0,0,2,2,1,2,0,2,4
42,3.3,1,2,1,2,2,2,0,0,0,3,0,0,0,1,2,2,1,0,0,2,4
43,3.495,0,3,2,3,0,0,1,0,1,3,3,0,0,1,2,0,2,0,0,1,4
44,3.5,0,3,0,3,2,1,2,0,1,1,1,0,0,1,2,2,2,0,0,2,4
45,3.3,0,3,1,1,0,0,1,3,3,1,5,0,1,0,0,0,0,0,0,0,5
46,3.3,1,2,1,0,1,1,2,2,2,2,1,1,0,1,1,1,1,0,0,2,2
47,3.495,0,2,2,2,2,0,3,0,3,4,1,0,0,0,0,2,2,0,0,1,4
48,3.64,0,3,2,3,0,0,1,0,1,4,5,0,0,0,0,0,0,0,0,2,5
